POSTED BY,DATABASE/SOURCE,POST LINK,ORIGINAL POST LINK,DATE POSTED,
SHALIEE,DATABASE,https://x.com/_zajeb/status/1964746813401088383,https://x.com/KaydenGrayXXX/status/1957499672366576124,"September 8, 2025",
SHALIEE,DATABASE,https://x.com/_zajeb/status/1977413663012380756,https://x.com/KaydenGrayXXX/status/1940729945892049275,"October 13, 2025",
JEREZA,DATABASE,https://x.com/ChrisTwink__/status/1983574201928757445,https://x.com/ericnvee/status/1954643287114932672,"October 30, 2025",
JEREZA,DATABASE,https://x.com/ChrisTwink__/status/1986119312596476347,https://x.com/KaydenGrayXXX/status/1943383177533202491,"November 6, 2025",
JEREZA,DATABASE,https://x.com/ChrisTwink__/status/1996395334873079855,https://x.com/SilasBrooksXXX/status/1919106444554596815,"December 4, 2025",
JEREZA,DATABASE,https://x.com/twinkz_x/status/1996577730868203718,https://x.com/angelicboyo18x/status/1980748130543915026,"December 4, 2025",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/1997711768110666025,https://x.com/isaaqdiass/status/1954057552821395892,"December 8, 2025",
JEREZA,JEREZA,https://x.com/ChrisTwink__/status/1999085358236233769,https://x.com/emiterraoficial/status/1972055525836894424,"December 11, 2025",
JEREZA,JEREZA,https://x.com/twinkz_x/status/1999118591598510540,https://x.com/Nicolasacoosta/status/1936263698177196226,"December 11, 2025",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2000246174243230176,https://x.com/isaaqdiass/status/1951508149833199981,"December 15, 2025",
SHALIEE,SHALIEE,https://x.com/_zajeb/status/2000255876628635949,https://x.com/Hasandouzaklian/status/1906420082504351987,"December 15, 2025",
SHALIEE,SHALIEE,https://x.com/_zajeb/status/2002809852410900767,https://x.com/Hasandouzaklian/status/1869498964116209833,"December 22, 2025",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2007857503510606325,https://x.com/sharkboydot/status/1906534229506396304,"January 5, 2026",
SHALIEE,DATABASE,https://x.com/_zajeb/status/2007876054841786369,https://x.com/ericnvee/status/1934350467808542834,"January 5, 2026",
JEREZA,DATABASE,https://x.com/twinkz_x/status/2009059980650189141,https://x.com/ericnvee/status/1947034220372656627,"January 8, 2026",
SHALIEE,DATABASE,https://x.com/_zajeb/status/2010397198685732912,https://x.com/ericnvee/status/1992709335341007333,"January 12, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2010387103289647240,https://x.com/sharkboydot/status/1947852800542581224,"January 12, 2026",
JEREZA,JEREZA,https://x.com/twinkz_x/status/2011485075221983507,https://x.com/Nicolasacoosta/status/1996757812551340144,"January 15, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2013034828099174759,https://x.com/isaaqdiass/status/1981076239830978930,"January 19, 2026",
JEREZA,JEREZA,https://x.com/twinkz_x/status/2014103213209952584,https://x.com/berk_can242/status/1962516688160596389,"January 22, 2026",
JEREZA,DATABASE,https://x.com/ChrisTwink__/status/2014118310762471453,https://x.com/ericnvee/status/1936886382154100994,"January 22, 2026",
SHALIEE,SHALIEE,https://x.com/_zajeb/status/2015482977157783639,https://x.com/Hasandouzaklian/status/2003094944764821931,"January 26, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2018004553929535557,https://x.com/isaaqdiass/status/1941356624045912237,"February 2, 2026",
JEREZA,JEREZA,https://x.com/ChrisTwink__/status/2019385049922302271,https://x.com/berk_can242/status/1959623867065872721,"February 5, 2026",
JEREZA,DATABASE,https://x.com/twinkz_x/status/2019210029812097213,https://x.com/ericnvee/status/1959716714134032776,"February 5, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2020539018333524369,https://x.com/sharkboydot/status/1894917075551781270,"February 9, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2023079214522548573,https://x.com/maxariesxxx/status/1971330931136029029,"February 16, 2026",
SHALIEE,DATABASE,https://x.com/_zajeb/status/2023092738959561184,https://x.com/ericnvee/status/2007929943670603959,"February 16, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2025621564075418106,https://x.com/sharkboydot/status/1946021596780478826,"February 23, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2028160119792435216,https://x.com/maxariesxxx/status/1759535824373530716,"March 2, 2026",
JEREZA,JEREZA,https://x.com/ChrisTwink__/status/2029001009448833275,https://x.com/berk_can242/status/1995541580199989719,"March 4, 2026",
JEREZA,DATABASE,https://x.com/twinkz_x/status/2029013727891149241,https://x.com/ericnvee/status/2018076627553452479,"March 4, 2026",
SHALIEE,DATABASE,https://x.com/_zajeb/status/2030708963893805504,https://x.com/ericnvee/status/2028222905339817995,"March 9, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2030698897388003509,https://x.com/isaaqdiass/status/2019952056614707461,"March 9, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2033220501338755492,https://x.com/sharkboydot/status/1911548171966177357,"March 16, 2026",
SHALIEE,DATABASE,https://x.com/_zajeb/status/2033232174845968428,https://x.com/KaydenGrayXXX/status/1776629870254256251,"March 16, 2026",
HANAH,HANAH,https://x.com/vvxciussx/status/2033734002964906233,https://x.com/xanderandjay/status/1508903846780628993,"March 17, 2026",
JEREZA,DATABASE,https://x.com/twinkz_x/status/2034074749547253778,https://x.com/ericnvee/status/2020614603361985022,"March 18, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2036052140200694265,https://x.com/sharkboydot/status/1999615931488653748,"March 23, 2026",
SHALIEE,SHALIEE,https://x.com/_zajeb/status/2035882557883945319,https://x.com/Hasandouzaklian/status/1810093688842047652,"March 23, 2026",
JEREZA,DATABASE,https://x.com/ChrisTwink__/status/2036756026431533200,https://x.com/KaydenGrayXXX/status/1610982522707447811,"March 25, 2026",
JEREZA,HANAH,https://x.com/twinkz_x/status/2036615174648631610,https://x.com/_leonmike17/status/1962550023964549263,"March 25, 2026",$2
SHALIEE,DATABASE,https://x.com/_zajeb/status/2038306319061401759,https://x.com/ericnvee/status/2033280657581896104,"March 30, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2038296618626064454,https://x.com/sashaex0/status/1988689687343731003,"March 30, 2026",
JEREZA,DATABASE,https://x.com/twinkz_x/status/2039136162946945286,https://x.com/juangoom_/status/1727097108845781333,"April 1, 2026",
JEREZA,DATABASE,https://x.com/ChrisTwink__/status/2039166213935202727,https://x.com/dannydelanox/status/2033343488633270275,"April 1, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2040842473891578108,https://x.com/typastrawberry/status/2015543078564643155,"April 6, 2026",
SHALIEE,SHALIEE,https://x.com/_zajeb/status/2040852437662101939,https://x.com/xchennyxxx/status/1927219421304455208,"April 6, 2026",
JEREZA,DATABASE,https://x.com/twinkz_x/status/2041669883113697515,https://x.com/dannydelanox/status/2029661256148472096,"April 8, 2026",
JEREZA,DATABASE,https://x.com/ChrisTwink__/status/2041716967388643554,https://x.com/SilasBrooksXXX/status/1752789271340367979,"April 8, 2026",
SHALIEE,DATABASE,https://x.com/jjtwink_/status/2043694412069249344,https://x.com/ericnvee/status/1962253633556287682,"April 13, 2026",
SHALIEE,DATABASE,https://x.com/_zajeb/status/2043483026919727501,https://x.com/dannydelanox/status/2039043258475802748,"April 13, 2026",
JEREZA,DATABASE,https://x.com/twinkz_x/status/2044167318645723620,https://x.com/ericnvee/status/1987303806003257794,"April 15, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2045923565413822625,https://x.com/benjaviano/status/1953130008299401391,"April 20, 2026",
SHALIEE,DATABASE,https://x.com/_zajeb/status/2045931322271563959,https://x.com/itsnoahryder/status/2034426219211432063,"April 20, 2026",
JEREZA,DATABASE,https://x.com/twinkz_x/status/2049490614299799591,https://x.com/juangoom_/status/2030438592724468127/video/1,"April 29, 2026",
SHALIEE,DATABASE,https://x.com/jjtwink_/status/2051293345482199542,https://x.com/SilasBrooksXXX/status/1701674179823821030/video/1,"May 4, 2026",
JEREZA,DATABASE,https://x.com/ChrisTwink__/status/2051862893243879719,https://x.com/dannydelanox/status/2035396544711577994/video/1,"May 6, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2053830651913044194,https://x.com/xGiox69/status/1982207616186286405/video/1,"May 11, 2026",
SHALIEE,DATABASE,https://x.com/jjtwink_/status/2056360299020620123,https://x.com/ericnvee/status/2051038250488177102/video/1,"May 18, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2058914202622836810,https://x.com/benjaviano/status/1980299759589233126/video/1,"May 25, 2026",
SHALIEE,SHALIEE,https://x.com/_zajeb/status/2063974335795093854,https://x.com/alextwinkgt/status/1911576411271315742/video/1,"June 8, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2063998225871245631,https://x.com/sharkboydot/status/1990187767112904812/video/1,"June 8, 2026",
SHALIEE,SHALIEE,https://x.com/_zajeb/status/2066505346818957445,https://x.com/dannydelanox/status/2063199849034461482/video/1,"June 15, 2026",
SHALIEE,SHALIEE,https://x.com/jjtwink_/status/2066529427526152530,https://x.com/benjaviano/status/1945512333003911417/video/1,"June 15, 2026",
JEREZA,SHALIEE,https://x.com/ChrisTwink__/status/2067236045104484772,https://x.com/xGiox69/status/1964118737659056376/video/1,"June 17, 2026",$2
SHALIEE,DATABASE, https://x.com/jjtwink_/status/2069079476437172619 , https://x.com/benjaviano/status/1988638113149710696/video/1 ,"June 22, 2026",
JEREZA,SHALIEE,https://x.com/ChrisTwink__/status/2072306049638379863,https://x.com/benjaviano/status/1945512333003911417/video/1,"July 1, 2026",$2
JEREZA,DATABASE,https://x.com/ChrisTwink__/status/2077389667188548082,https://x.com/berk_can242/status/2075214521279639895/video/1,"July 15, 2026",
